subject_id,n_cycles,duration,network_n_nodes,network_n_edges,network_density,network_is_connected,network_diameter,network_average_path_length,network_global_efficiency,network_largest_component_size,network_avg_clustering,network_transitivity,network_assortativity,network_small_worldness,network_modularity,degree_LT_TA,degree_centrality_LT_TA,betweenness_centrality_LT_TA,closeness_centrality_LT_TA,eigenvector_centrality_LT_TA,pagerank_LT_TA,clustering_LT_TA,degree_LT_GL,degree_centrality_LT_GL,betweenness_centrality_LT_GL,closeness_centrality_LT_GL,eigenvector_centrality_LT_GL,pagerank_LT_GL,clustering_LT_GL,degree_LT_RF,degree_centrality_LT_RF,betweenness_centrality_LT_RF,closeness_centrality_LT_RF,eigenvector_centrality_LT_RF,pagerank_LT_RF,clustering_LT_RF,degree_LT_HAM,degree_centrality_LT_HAM,betweenness_centrality_LT_HAM,closeness_centrality_LT_HAM,eigenvector_centrality_LT_HAM,pagerank_LT_HAM,clustering_LT_HAM,degree_LT_VL,degree_centrality_LT_VL,betweenness_centrality_LT_VL,closeness_centrality_LT_VL,eigenvector_centrality_LT_VL,pagerank_LT_VL,clustering_LT_VL,degree_RT_TA,degree_centrality_RT_TA,betweenness_centrality_RT_TA,closeness_centrality_RT_TA,eigenvector_centrality_RT_TA,pagerank_RT_TA,clustering_RT_TA,degree_RT_GL,degree_centrality_RT_GL,betweenness_centrality_RT_GL,closeness_centrality_RT_GL,eigenvector_centrality_RT_GL,pagerank_RT_GL,clustering_RT_GL,degree_RT_RF,degree_centrality_RT_RF,betweenness_centrality_RT_RF,closeness_centrality_RT_RF,eigenvector_centrality_RT_RF,pagerank_RT_RF,clustering_RT_RF,degree_RT_HAM,degree_centrality_RT_HAM,betweenness_centrality_RT_HAM,closeness_centrality_RT_HAM,eigenvector_centrality_RT_HAM,pagerank_RT_HAM,clustering_RT_HAM,degree_RT_VL,degree_centrality_RT_VL,betweenness_centrality_RT_VL,closeness_centrality_RT_VL,eigenvector_centrality_RT_VL,pagerank_RT_VL,clustering_RT_VL
S01,278,305.5005,10,11,0.24444444444444444,False,6,2.6666666666666665,0.5398148148148149,9.0,0.4333333333333333,0.5,-0.12820512820513,0.0,0.434326171282041,3,0.3333333333333333,0.4444444444444444,0.4444444444444444,0.4493189039796025,0.08920752229240958,0.3333333333333333,0,0.0,0.0,0.0,1.3550134047787364e-36,0.016393442622950824,0.0,3,0.3333333333333333,0.1388888888888889,0.3950617283950617,0.5066993144762952,0.14791086662701855,0.6666666666666666,3,0.3333333333333333,0.19444444444444442,0.3232323232323232,0.4283117036521658,0.11813297764993082,0.3333333333333333,3,0.3333333333333333,0.1388888888888889,0.3950617283950617,0.5066993144762952,0.16383328386602575,0.6666666666666666,2,0.2222222222222222,0.41666666666666663,0.4183006535947712,0.21416344552084532,0.06419499368502342,0.0,1,0.1111111111111111,0.0,0.24521072796934865,0.15677263847853345,0.04117478465796044,0.0,3,0.3333333333333333,0.3333333333333333,0.35555555555555557,0.13578320871034688,0.15284290962348293,0.3333333333333333,2,0.2222222222222222,0.0,0.27350427350427353,0.0783980073697485,0.0762673631452662,1.0,2,0.2222222222222222,0.0,0.27350427350427353,0.0783980073697485,0.13004185582993166,1.0
S10,203,250.4405,10,11,0.24444444444444444,True,7,3.088888888888889,0.48412698412698424,,0.36666666666666664,0.375,-0.035294117647058476,0.0,0.45075055063597463,2,0.2222222222222222,0.5,0.391304347826087,0.09308388115141089,0.09201924397155638,0.0,2,0.2222222222222222,0.5555555555555556,0.42857142857142855,0.2038852458357451,0.06762310161616841,0.0,2,0.2222222222222222,0.38888888888888884,0.3333333333333333,0.04225537781030759,0.14354617010329374,0.0,2,0.2222222222222222,0.0,0.34615384615384615,0.390108845032943,0.0594268976668207,1.0,2,0.2222222222222222,0.2222222222222222,0.2727272727272727,0.018648477375659785,0.12724621570697334,0.0,2,0.2222222222222222,0.0,0.2903225806451613,0.35608448285463795,0.08529171986589136,1.0,1,0.1111111111111111,0.0,0.21951219512195122,0.007053161831128412,0.04061819401540181,0.0,2,0.2222222222222222,0.0,0.2903225806451613,0.35608448285463795,0.12092922440280196,1.0,3,0.3333333333333333,0.5555555555555556,0.42857142857142855,0.44605488973927276,0.09360733162796672,0.3333333333333333,4,0.4444444444444444,0.38888888888888884,0.375,0.5855262371176786,0.16969190102312567,0.3333333333333333
S11,246,259.4105,10,11,0.24444444444444444,False,2,1.4,0.8,5.0,0.5333333333333333,0.5294117647058824,-0.3750000000000002,0.0,0.4876930594752981,2,0.2222222222222222,0.0,0.2962962962962963,0.4119172767577457,0.0635328993940092,1.0,2,0.2222222222222222,0.0,0.25396825396825395,1.4809177595766321e-05,0.09217311153713947,1.0,1,0.1111111111111111,0.0,0.25396825396825395,0.2169165777851403,0.04332987187166894,0.0,3,0.3333333333333333,0.013888888888888888,0.35555555555555557,0.5236829439924442,0.13747714535305672,0.6666666666666666,4,0.4444444444444444,0.09722222222222221,0.4444444444444444,0.5825389993665957,0.1727487003685893,0.3333333333333333,1,0.1111111111111111,0.0,0.19753086419753085,4.60725092028498e-06,0.047221251124129546,0.0,2,0.2222222222222222,0.0,0.2962962962962963,0.4119172767577457,0.08291138301267587,1.0,2,0.2222222222222222,0.08333333333333333,0.2962962962962963,1.0201926675481346e-05,0.11080200068395568,0.0,2,0.2222222222222222,0.0,0.25396825396825395,1.4809177595766321e-05,0.11256586729771925,1.0,3,0.3333333333333333,0.1111111111111111,0.35555555555555557,1.7983076737723303e-05,0.13723776935705623,0.3333333333333333
S12,101,308.7305,10,11,0.24444444444444444,True,5,2.422222222222222,0.5266666666666671,,0.4333333333333333,0.3333333333333333,-0.03623188405797082,2.6605504587155964,0.5830055662776861,4,0.4444444444444444,0.6666666666666666,0.6,0.5057779008183081,0.12531002352887424,0.16666666666666666,2,0.2222222222222222,0.2222222222222222,0.42857142857142855,0.22242994408715497,0.09568241359984943,0.0,2,0.2222222222222222,0.0,0.4090909090909091,0.3063283071700264,0.11004317489067818,1.0,1,0.1111111111111111,0.0,0.3103448275862069,0.08390215414339862,0.0872174051648643,0.0,2,0.2222222222222222,0.0,0.4090909090909091,0.3063283071700264,0.10200398873761353,1.0,4,0.4444444444444444,0.6666666666666666,0.6,0.5057779008183082,0.09610863073401979,0.16666666666666666,2,0.2222222222222222,0.2222222222222222,0.42857142857142855,0.22242994408715497,0.10602033076230234,0.0,2,0.2222222222222222,0.0,0.4090909090909091,0.3063283071700264,0.09678821035357471,1.0,1,0.1111111111111111,0.0,0.3103448275862069,0.08390215414339863,0.07684186083754423,0.0,2,0.2222222222222222,0.0,0.4090909090909091,0.3063283071700264,0.1039839613906791,1.0
S13,200,245.2005,10,11,0.24444444444444444,False,3,1.9285714285714286,0.630952380952381,8.0,0.38333333333333336,0.3333333333333333,0.16190476190476236,0.0,0.5109291201519897,3,0.3333333333333333,0.20833333333333331,0.494949494949495,0.3730914500576854,0.09824909322403268,0.0,3,0.3333333333333333,0.125,0.4537037037037037,0.43352242999584706,0.12765938414983985,0.3333333333333333,1,0.1111111111111111,0.0,0.1111111111111111,2.6875685386249023e-08,0.1,0.0,2,0.2222222222222222,0.0,0.362962962962963,0.30201170797842103,0.10561077191592722,1.0,4,0.4444444444444444,0.3055555555555555,0.5444444444444444,0.49496142556411427,0.10888800069489689,0.16666666666666666,3,0.3333333333333333,0.08333333333333333,0.4188034188034188,0.4011414043223576,0.07648484136817464,0.3333333333333333,1,0.1111111111111111,0.0,0.1111111111111111,2.6875685386249023e-08,0.1,0.0,2,0.2222222222222222,0.0,0.362962962962963,0.28064582219619394,0.11637116364434215,1.0,1,0.1111111111111111,0.0,0.3202614379084967,0.13499854346538834,0.05317752020935192,0.0,2,0.2222222222222222,0.0,0.362962962962963,0.28064582219619394,0.11355922479343455,1.0
S14,173,312.6605,10,11,0.24444444444444444,False,5,2.4285714285714284,0.5809523809523808,8.0,0.35,0.6666666666666666,0.5809523809523802,0.0,0.5115221799098346,2,0.2222222222222222,0.3333333333333333,0.4188034188034188,0.19173543245854022,0.05152306845161911,0.0,2,0.2222222222222222,0.16666666666666666,0.28654970760233917,0.025239191747960597,0.12806397020692742,0.0,4,0.4444444444444444,0.3333333333333333,0.4188034188034188,0.5239634881453669,0.13797788901829316,0.5,3,0.3333333333333333,0.0,0.3202614379084967,0.47717609028084934,0.09371583334187289,1.0,3,0.3333333333333333,0.0,0.3202614379084967,0.47717609028084934,0.12608689535804432,1.0,1,0.1111111111111111,0.0,0.2177777777777778,0.008148036080902655,0.037218291784941696,0.0,3,0.3333333333333333,0.0,0.3202614379084967,0.47717609028084934,0.1014478730024889,1.0,1,0.1111111111111111,0.0,0.1111111111111111,3.5275260774562815e-09,0.1,0.0,2,0.2222222222222222,0.2777777777777778,0.362962962962963,0.07003796350022255,0.12396617883581248,0.0,1,0.1111111111111111,0.0,0.1111111111111111,3.5275260774562815e-09,0.1,0.0
S15,178,186.3405,10,11,0.24444444444444444,False,2,1.4,0.8,6.0,0.3333333333333333,0.45,0.34523809523809645,0.0,0.3749746518023688,3,0.3333333333333333,0.037037037037037035,0.39682539682539686,0.3820321044159489,0.09317501851114371,0.3333333333333333,1,0.1111111111111111,0.0,0.14814814814814814,3.297037691500239e-06,0.10561743619678633,0.0,2,0.2222222222222222,0.0,0.3472222222222222,0.2837114559812597,0.0632710198821371,1.0,2,0.2222222222222222,0.027777777777777776,0.2222222222222222,4.662715418974918e-06,0.15950583338721025,0.0,4,0.4444444444444444,0.08333333333333333,0.462962962962963,0.493727956878152,0.12110029993246721,0.3333333333333333,1,0.1111111111111111,0.0,0.14814814814814814,3.297037691500239e-06,0.06274558287501988,0.0,0,0.0,0.0,0.0,1.4649680149419514e-14,0.016393442622950824,0.0,3,0.3333333333333333,0.009259259259259259,0.39682539682539686,0.4291475964245678,0.1320119591059098,0.6666666666666666,3,0.3333333333333333,0.027777777777777776,0.39682539682539686,0.40181670754212273,0.0980577987530527,0.3333333333333333,3,0.3333333333333333,0.009259259259259259,0.39682539682539686,0.42914759642456773,0.14812160873332245,0.6666666666666666
S16,204,256.1105,10,11,0.24444444444444444,False,4,1.9642857142857142,0.6309523809523808,8.0,0.26666666666666666,0.35294117647058826,0.3015873015873016,0.0,0.42802158307704774,2,0.2222222222222222,0.06944444444444445,0.4188034188034188,0.2912694999526005,0.06463837344239891,0.0,1,0.1111111111111111,0.0,0.1111111111111111,3.310965387276724e-06,0.1,0.0,3,0.3333333333333333,0.18055555555555555,0.494949494949495,0.44465268251761747,0.13215245984485843,0.3333333333333333,3,0.3333333333333333,0.16666666666666666,0.4188034188034188,0.37029976129962083,0.08522685888520405,0.3333333333333333,3,0.3333333333333333,0.1111111111111111,0.4537037037037037,0.4119172767333656,0.1422921616944836,0.3333333333333333,3,0.3333333333333333,0.06944444444444445,0.3888888888888889,0.3702997612996208,0.10558177483482106,0.3333333333333333,1,0.1111111111111111,0.0,0.28654970760233917,0.13788631738758356,0.03545271972509176,0.0,2,0.2222222222222222,0.0,0.3402777777777778,0.2912694999526005,0.11081392313680755,1.0,1,0.1111111111111111,0.0,0.1111111111111111,3.310965387276724e-06,0.1,0.0,3,0.3333333333333333,0.15277777777777776,0.4537037037037037,0.41191727673336564,0.12384172843633479,0.3333333333333333
S17,2,310.6205,10,11,0.24444444444444444,True,6,2.6444444444444444,0.5103703703703707,,0.38333333333333336,0.35294117647058826,-0.031249999999999754,0.0,0.3977345168199414,4,0.4444444444444444,0.6666666666666666,0.5294117647058824,0.5129507381946841,0.14895921740603385,0.16666666666666666,2,0.2222222222222222,0.2222222222222222,0.34615384615384615,0.16286770107960538,0.08937610953721409,0.0,2,0.2222222222222222,0.0,0.375,0.3212568375414811,0.12273560125681705,1.0,1,0.1111111111111111,0.0,0.2903225806451613,0.089319841771783,0.049436156676024814,0.0,2,0.2222222222222222,0.0,0.375,0.3212568375414811,0.12589387048758768,1.0,3,0.3333333333333333,0.5555555555555556,0.5294117647058824,0.45752651866590793,0.1040184304186908,0.3333333333333333,2,0.2222222222222222,0.2222222222222222,0.391304347826087,0.23193699577089535,0.06904891773368875,0.0,2,0.2222222222222222,0.0,0.4090909090909091,0.3149093646667956,0.10388613935494684,1.0,1,0.1111111111111111,0.0,0.2647058823529412,0.06272182181780157,0.07321815123467924,0.0,3,0.3333333333333333,0.38888888888888884,0.45,0.3601922909854774,0.11342740589431671,0.3333333333333333
S18,48,141.2805,10,11,0.24444444444444444,False,6,2.388888888888889,0.5666666666666668,9.0,0.16666666666666666,0.3,0.08333333333333408,0.0,0.36536137549732195,1,0.1111111111111111,0.0,0.25396825396825395,0.05093396773904744,0.052156734922922804,0.0,0,0.0,0.0,0.0,1.9186065943861297e-12,0.016393442622950824,0.0,2,0.2222222222222222,0.19444444444444442,0.3386243386243386,0.14930855983153563,0.1163113268185026,0.0,4,0.4444444444444444,0.2777777777777778,0.5079365079365079,0.5267935343148433,0.15747595387601063,0.3333333333333333,3,0.3333333333333333,0.3333333333333333,0.4444444444444444,0.3867532462926476,0.1395607433404469,0.3333333333333333,2,0.2222222222222222,0.08333333333333333,0.4183006535947712,0.2718760014687921,0.07777064959478013,0.0,3,0.3333333333333333,0.19444444444444442,0.4444444444444444,0.4279901391433992,0.12429219628771009,0.3333333333333333,3,0.3333333333333333,0.20833333333333331,0.3742690058479532,0.2701894077546864,0.12692645697226831,0.0,3,0.3333333333333333,0.09722222222222221,0.47407407407407404,0.45763881019230407,0.13444699721344966,0.6666666666666666,1,0.1111111111111111,0.0,0.27350427350427353,0.09217086058979904,0.05466549835095823,0.0
S19,189,185.8305,10,11,0.24444444444444444,True,6,2.7555555555555555,0.5055555555555556,,0.1,0.17647058823529413,-0.3968253968253999,0.0,0.3697027421855906,1,0.1111111111111111,0.0,0.28125,0.13779510151702182,0.04940028141566867,0.0,3,0.3333333333333333,0.5555555555555556,0.5,0.4535962945993747,0.1451519248661173,0.3333333333333333,3,0.3333333333333333,0.2361111111111111,0.375,0.36234458508886835,0.12315282673234866,0.0,3,0.3333333333333333,0.3055555555555555,0.45,0.49375964187811056,0.11230751328864651,0.3333333333333333,2,0.2222222222222222,0.5,0.45,0.21656611985307225,0.10743384384296821,0.0,2,0.2222222222222222,0.027777777777777776,0.36,0.3212617624681731,0.07904737909442797,0.0,1,0.1111111111111111,0.0,0.28125,0.044068240443134836,0.055006668566390776,0.0,3,0.3333333333333333,0.15277777777777776,0.42857142857142855,0.48244080413315193,0.11180859841972207,0.3333333333333333,3,0.3333333333333333,0.41666666666666663,0.375,0.11587741719715845,0.15089014233852566,0.0,1,0.1111111111111111,0.0,0.28125,0.044068240443134836,0.06580082143518447,0.0
S2,244,317.3505,10,11,0.24444444444444444,True,5,2.488888888888889,0.523703703703704,,0.26666666666666666,0.3,-0.39333333333333315,0.0,0.35852915118483575,4,0.4444444444444444,0.5694444444444444,0.5625,0.547831579505227,0.1340189158127556,0.3333333333333333,1,0.1111111111111111,0.0,0.375,0.09588304172774459,0.04287381537026515,0.0,2,0.2222222222222222,0.0,0.4090909090909091,0.3783252027302587,0.1308331008612574,1.0,2,0.2222222222222222,0.0,0.4090909090909091,0.3783252027302587,0.06747546690396874,1.0,4,0.4444444444444444,0.2361111111111111,0.45,0.5252114934665368,0.20816093778753259,0.3333333333333333,3,0.3333333333333333,0.6388888888888888,0.5625,0.2719500479133403,0.1320164479255221,0.0,1,0.1111111111111111,0.0,0.32142857142857145,0.18517479160885783,0.02641335677205023,0.0,1,0.1111111111111111,0.0,0.32142857142857145,0.04499341454269033,0.07593480321513704,0.0,1,0.1111111111111111,0.0,0.32142857142857145,0.04499341454269033,0.038904062966851116,0.0,3,0.3333333333333333,0.41666666666666663,0.45,0.12761122671159575,0.14336909238466025,0.0
S20,114,312.1505,10,11,0.24444444444444444,False,3,1.6666666666666667,0.7333333333333332,6.0,0.35,0.6666666666666666,0.47619047619047516,0.0,0.5473206775366487,1,0.1111111111111111,0.0,0.2314814814814815,0.06104023582363456,0.05607434128322469,0.0,1,0.1111111111111111,0.0,0.16666666666666666,2.8839731148010644e-06,0.09990000571442227,0.0,1,0.1111111111111111,0.0,0.16666666666666666,2.8839731148010644e-06,0.0771056451446965,0.0,2,0.2222222222222222,0.05555555555555555,0.25,4.6663665223890255e-06,0.12289435485530345,0.0,3,0.3333333333333333,0.0,0.3472222222222222,0.4780955753886136,0.09049540047996403,1.0,3,0.3333333333333333,0.0,0.3472222222222222,0.4780955753886136,0.0955335799979252,1.0,2,0.2222222222222222,0.05555555555555555,0.25,4.6663665223890255e-06,0.10009999428557768,0.0,4,0.4444444444444444,0.16666666666666666,0.462962962962963,0.5242352528752718,0.1457595390964239,0.5,2,0.2222222222222222,0.1111111111111111,0.3472222222222222,0.18901151175180214,0.08039527357138238,0.0,3,0.3333333333333333,0.0,0.3472222222222222,0.4780955753886136,0.13174186557107992,1.0
S21,275,302.0705,10,11,0.24444444444444444,True,6,2.8222222222222224,0.4992592592592593,,0.38333333333333336,0.35294117647058826,-0.48958333333333287,0.0,0.50968839478098,3,0.3333333333333333,0.5555555555555556,0.47368421052631576,0.4059640520773589,0.10020835337210103,0.3333333333333333,2,0.2222222222222222,0.0,0.32142857142857145,0.31684762910529923,0.08653208878560319,1.0,3,0.3333333333333333,0.38888888888888884,0.4090909090909091,0.35340821013511164,0.1453511127736063,0.3333333333333333,1,0.1111111111111111,0.0,0.25,0.06794247087655446,0.058374203188545734,0.0,2,0.2222222222222222,0.0,0.375,0.3049318532848085,0.12734833990295416,1.0,2,0.2222222222222222,0.5555555555555556,0.47368421052631576,0.35263418603202096,0.08275421732628584,0.0,2,0.2222222222222222,0.2222222222222222,0.32142857142857145,0.16919687382637494,0.07900173979091114,0.0,1,0.1111111111111111,0.0,0.3103448275862069,0.18961629240431843,0.08760819609611843,0.0,2,0.2222222222222222,0.0,0.32142857142857145,0.31684762910529923,0.08682620645572804,1.0,4,0.4444444444444444,0.5555555555555556,0.42857142857142855,0.47220607914126456,0.14599554230814601,0.16666666666666666
